weight_tumor,start_idx,eval,scalar_loss,tumor_loss,il6_loss,n_failed,doses_mg
0.05,1,159,-0.005364459540732681,-0.1070018381398732,-0.009492149296870728,0,"2.537488,10.947896,8.776717,17.678765,13.308755,14.303909"
0.05,1,160,0.019553901226984326,-0.10643310729623026,0.02056808757805262,0,"2.514627,11.211778,9.289841,17.256198,13.205239,13.384388"
0.05,1,161,0.05994473085278992,-0.10639469916118713,0.06304227413402175,0,"2.537572,10.629941,9.139219,17.31829,14.197968,12.89074"
0.05,1,162,0.039320248187541186,-0.10635774076088625,0.04135397873135205,0,"2.519526,11.153131,8.869898,17.588399,12.978334,14.274863"
0.05,1,163,0.02123355579436183,-0.10719182446446279,0.022334418618839114,0,"2.53984,10.915617,8.81149,17.685938,13.253019,14.218313"
0.05,1,164,-0.0053041456116072186,-0.10572761674515851,-0.013135151065298833,0,"2.522577,10.892309,8.899777,17.182679,13.939332,13.564944"
0.05,1,165,-0.005285010235164493,-0.10545893344804215,-0.007148016936824042,0,"2.520649,10.701799,8.99604,17.77209,13.444231,14.160598"
0.05,1,166,-0.005350878386731111,-0.1066616462081451,-0.013118941066788709,0,"2.520782,11.135518,9.239093,17.333799,13.166756,13.452045"
0.05,1,167,0.033055480355753786,-0.1069088542173455,0.034766103158383355,0,"2.529869,11.074031,8.941733,17.427272,13.5276,13.210168"
0.05,1,168,-0.005337935050864921,-0.10653092558570665,-0.006381289789792688,0,"2.521861,11.173845,8.844255,17.655651,12.774396,14.424796"
0.05,1,169,-0.005026236460854167,-0.1061965813784804,-0.00527990602217282,0,"2.529225,10.783739,8.983601,17.690049,12.989757,14.660175"
0.05,1,170,0.03618991073494846,-0.10558831848336463,0.0380621380207925,0,"2.515729,10.898194,9.17122,17.432753,13.176583,13.799317"
0.05,1,171,-0.005361135754984385,-0.10692216405805607,-0.010190993556502964,0,"2.535818,10.912713,8.871443,17.64374,13.24028,14.14848"
0.05,1,172,0.020182617115596258,-0.10681976655582137,0.0212292529616952,0,"2.528529,11.073063,8.961718,17.413206,13.523353,13.186891"
0.05,1,173,-0.0053296818116711974,-0.10630003902196172,-0.009857745917908695,0,"2.529109,10.83196,8.979954,17.643908,13.07869,14.414627"
0.05,1,174,-0.005404189229526365,-0.10782199207139745,-0.008103711950444736,0,"2.539934,11.198391,8.943918,17.288438,12.947032,13.771144"
0.05,1,175,0.07057270982254318,-0.1082222676857686,0.07421854033958408,0,"2.543151,11.281156,8.935231,17.207829,12.864166,13.706235"
0.05,1,176,0.019479707160053285,-0.10827768954823776,0.020490163567517428,0,"2.543793,11.109908,9.054894,17.913102,12.121168,14.435532"
0.05,1,177,-0.003153633666185824,-0.1061597956646435,-0.0033107163114807214,0,"2.526111,10.928575,8.92563,17.304416,13.636304,13.710042"
0.05,1,178,0.03176050332794671,-0.10775982856076108,0.03340437596022372,0,"2.549662,10.828251,8.978449,17.649577,12.969787,13.787135"
0.05,1,179,0.058001821071582714,-0.10704619486013518,0.060999183323335315,0,"2.536504,10.960326,8.883522,17.584523,13.191405,14.085591"
0.05,1,180,-0.005353719596381026,-0.10683040860359147,-0.007218574496076546,0,"2.523972,11.145997,9.189896,17.326239,13.130135,13.505228"
0.05,1,181,0.03401663859336342,-0.1067479154453688,0.03577682947487848,0,"2.524871,11.177936,8.860865,17.594449,12.803168,14.315854"
0.05,1,182,0.023327844594273343,-0.10657297803409792,0.02453669829452132,0,"2.530912,10.893032,8.973948,17.584663,13.056747,14.30738"
0.05,1,183,0.05460554890784337,-0.10608108942353614,0.05742768070068305,0,"2.525468,10.943322,8.907134,17.200305,13.773948,13.59931"
0.05,1,184,0.0043063203572805435,-0.10687876512853074,0.004534059935366708,0,"2.528429,11.101983,9.067881,17.2967,13.035534,13.676426"
0.05,1,185,-0.005422410350751028,-0.10813709156377052,-0.010683071562434199,0,"2.540456,11.171874,9.097851,17.71305,12.206854,14.188412"
0.05,1,186,0.01428762760764116,-0.10846052505347169,0.015030286170559792,0,"2.542956,11.209967,9.129638,17.798508,11.945673,14.286596"
0.05,1,187,-4.651937783850429e-5,-0.10793277566115979,-4.324384989268237e-5,0,"2.546254,10.93524,9.223119,17.35844,12.978861,13.429389"
0.05,1,188,0.024866201775745986,-0.10695509980051329,0.026154424029376955,0,"2.520338,11.320589,9.187089,17.206267,12.815267,13.838858"
0.05,1,189,-0.005266632014924601,-0.10709488094287745,-0.005532653946976662,0,"2.52522,11.238532,9.152315,17.280152,12.841021,13.830238"
0.05,1,190,0.030670296843664558,-0.10821766407259513,0.03225796069916209,0,"2.537171,11.370975,9.251046,17.169676,12.656399,13.159566"
0.05,1,191,0.03379057244890863,-0.10679764890628933,0.03553910545386607,0,"2.531955,10.972689,9.02013,17.515499,12.990022,14.116078"
0.05,1,192,-0.005411346658431663,-0.10786848845542985,-0.013188222355157486,0,"2.540021,11.193971,8.969573,17.359207,12.823669,13.840689"
