sample_idx,btumor_auc,il6combo_auc,peak_il6combo,final_btumor,best_spd_pct
97,3.5720368002814644e10,7013.639815378509,319.5771625694237,1.773151197556471e7,-99.93921839991997
98,1.4460016024386084e11,26593.63115093162,789.5502947869682,2.988748320587774e8,-99.14450330083243
99,5.452666550465668e11,1805.2743939552358,621.5237834234716,1.7322549990511336e6,-99.99848491220807
100,4.124512631753621e9,1023.1817694361689,281.4114826023679,5.9639964969852e6,-99.82879587121562
101,1.138188340329075e10,1052.4774939830495,97.37542206458124,1.2307309234698273e6,-99.98403259470203
102,1.5519241303283688e11,19267.104032789353,4338.581127714124,5.82952103496601e6,-99.98248103149074
103,5.3520538126943e10,2461.973582014792,1917.4082838862696,2.1602767138317972e7,-99.77054563058736
104,9.592080634051028e10,683177.6052625031,14525.266398683914,1.672578913501606e7,-99.63276697614916
105,1.1042546276863573e11,597.1016661951141,235.79023025704927,1.8658337733064287e6,-99.9946657126818
106,1.735064818397541e10,1868.9299948929713,268.09442586220194,4.612150287303685e6,-99.93713635015958
107,9.561857972685046e10,193.36535456572392,95.57402322948357,6.378436636947742e6,-99.95268699409547
108,7.81160531746608e9,286.57501290189026,242.89570039552356,2.7805439666744354e6,-99.9679341066837
109,2.0085174702560294e11,738.1250390957044,348.60928996225766,4.0670750684973523e6,-99.99611148868182
110,1.2496044095737871e10,359.5882582009007,212.2846369388661,1.983902906577296e6,-99.94600108295816
111,3.9235803227242603e12,2363.561802251381,331.0923657289283,9.265035395803305e10,0.0
112,1.2447693448657137e11,16063.653728999523,2217.7269231448504,1.998851519496897e7,-99.91091306208335
113,1.9592150416488345e12,5597.113483682259,620.2502870709297,4.437483319990589e10,0.0
114,2.31310424834757e11,451.6176443539799,132.77188994852781,4.439977851374868e6,-99.99628658448208
115,7.86062231230015e10,2113.3748933279344,1867.032027452588,763275.233254701,-99.99829299908465
116,1.0638806346461354e12,4111.598204997671,327.5627604525921,2.979339698389768e10,0.0
117,7.035322975070653e10,7660.339024794831,5251.927555474702,1.6661165865271627e6,-99.99244524681497
118,1.0857558161385457e11,3727.336597628717,1322.258678362798,3.4187478303762614e6,-99.99436132294744
119,2.7707173108160046e11,13167.77655200421,1378.9217247382592,1.0203457823542419e8,-99.2794244337606
120,1.338465161329274e12,65756.26938031778,5251.696967099379,1.4391368766439627e6,-99.99850918073479
121,3.6229539200274577e9,1338.531414238854,514.1232689547045,1.110685871635041e6,-99.95396371631384
122,2.1243311790262988e11,24716.779793663027,1530.0563781617707,3.805826117965896e7,-99.70130978796962
123,4.924649210498705e12,721.0940907475723,40.49007073705692,6.646165041328818e10,-0.5617513981215683
124,6.835025542895264e9,22.644441569116974,2.4601031996439944,7.953805993311704e6,-99.95753816019251
125,5.1340289387004375e12,17709.259755076924,2244.146168633439,1.4624898261384787e11,0.0
126,2.9707386711268805e11,1.208139153152801e6,46686.22199482934,6.11407397455722e8,-95.60488991057572
127,8.698494271629337e10,27472.566112017546,1509.004061074584,6.829393335898313e7,-98.95781781423644
128,1.235005037320705e12,35010.427619567454,3734.466033321887,1.4280319859832835e8,-99.93020588771054
129,4.029878059928915e8,5439.290295411927,1134.79220436772,1.2179435741486032e6,-99.72609077454861
130,1.2022998642566091e12,878.8440999149063,817.1397499526377,3.3989907545976032e10,0.0
131,1.1162176186564462e9,250.5729687037903,310.6055656835555,1.3200021767340987e6,-99.96880757712275
132,1.2497968549531306e11,16567.488572121336,835.5637301972306,6.157660543621076e7,-99.73546056560623
133,1.3500514023761482e11,4608.159410354481,938.9296814694446,3.2395638796375908e7,-99.78850637572307
134,6.5577059159264824e10,628.8440210783563,182.47361507315026,1.681572426348913e7,-99.93458720894024
135,6.669166069735704e11,11152.25873454368,8176.996754306874,1.879654554833572e10,0.0
136,2.0197231459316345e10,8192.276507769397,2162.040598565674,1.160035401935634e7,-99.9271496600166
137,4.11724338090402e11,4978.233593376358,1257.8411905400772,3.6936714991500312e6,-99.98459887933487
138,2.4671358240341727e11,2804.3031980400915,517.199148711904,1.0875727687747028e8,-99.85053260270956
139,1.6330990734602792e11,5841.169947047247,633.9329001779745,1.938343726195166e7,-99.90489929866322
140,3.019535743298867e10,39588.03223634126,6855.623495178292,1.4755691656917336e6,-99.98759933288542
141,4.022679720489224e11,2032.9466836143865,1224.7113116312487,1.0643545221317955e10,-4.104741606641693
142,4.71459242591867e9,3051.553986536328,455.3541993736107,4.681882287556109e6,-98.1074884998518
143,1.4607997757554865e9,56.949233199098046,6.180405063561065,659229.6441211097,-99.97830181137329
144,9.848862629399021e11,3200.563991579242,81.00964792739119,2.75106556172001e10,0.0
145,2.3351026932708838e11,17449.081072219225,701.6476274021607,2.073934915811272e8,-99.88700948299129
146,1.95941449917527e11,2843.6158743007113,503.6589422170373,2.9786635343250763e7,-99.97582915116881
147,7.181262214643896e10,1158.2937295264358,366.98927854585884,4.70381210711725e6,-99.96809050427082
148,1.4105209832467451e13,146589.9916167212,5175.890509182179,3.1381513093260114e11,0.0
149,1.3685243093024324e13,12082.541248525471,278.25343969509174,3.630740460040257e11,0.0
150,2.856726434045062e11,3236.100068014279,726.848914399057,559205.1172415,-99.99806137014582
151,1.72327073828874e11,2287.0874783868394,1042.9697024308434,1.6628440684493275e6,-99.99405736842397
152,4.163878865451439e9,297.9656038920315,246.29051265358538,886384.4076091578,-99.96968252548187
153,2.5526714420502832e11,166123.9591879056,2295.7573735582623,7.179716811402555e9,0.0
154,1.7084713193125757e11,1269.9984781854891,313.6458236177138,4.287506544779513e6,-99.99176013705517
155,1.1367169108322227e10,3487.9514237602225,2262.4539096966346,3.7384905299666324e6,-99.97648885712927
156,1.3891410847247539e9,144.02547322109103,7.740525611088237,1.8499049718677371e6,-99.96497569949537
157,9.981988680461643e8,2014.6994620183607,3557.5424596788057,12097.292828666346,-99.99978814791426
158,4.2811600671363926e12,15224.013166715104,480.59008052004486,1.1562580662878809e11,0.0
159,5.252046783194994e10,10635.107951829119,880.0996019896068,5.094729305469097e7,-99.2530249137279
160,2.0785526493315504e9,428.8533544302885,351.82624368908023,438666.7156576589,-99.94711277084009
161,1.104276948466031e11,1279.0052803895455,123.56322144238375,5.252813690838578e6,-99.98140155265254
162,8.835023489494206e10,60.70495311927281,31.85454089309192,156881.69517580685,-99.99940588455173
163,9.457104921975473e8,4609.422572880444,6725.216546453387,32856.922522189205,-99.99851434858743
164,1.4133116702243987e12,2708.995387603324,368.736131472842,3.9803254005268394e10,0.0
165,2.8643838376590894e11,496.2701776405793,33.49228547845312,1.0626343176591478e7,-99.97459073045071
166,2.5321620592062256e11,60871.82909057021,4172.24587527886,1.7217275565148424e7,-99.90845625529874
167,4.593436986341078e11,5212.270916256013,2856.174311995131,1.2811134842537342e10,0.0
168,1.0720332839858513e11,2393.101199742306,857.2672813278452,8.969428392645957e6,-99.95959252579702
169,5.754515979492117e11,368.87899470601275,509.5160295129565,1.5991653058595028e10,-1.4597528047549102
170,4.712679038801624e12,2127.4764053386984,181.05705121353682,1.1318051046560748e11,0.0
171,1.515990079629903e13,107513.3339526126,2847.8640320286754,4.281450841814638e11,0.0
172,1.4968499183537408e11,12018.439699638742,2751.7871409632307,2.992944317099253e6,-99.97778575055399
173,2.6375491110145657e11,2761.63640765914,958.4661029421919,4.306608812453606e9,-6.505255031794355
174,8.253236621546713e12,1001.233672726494,251.4082940411243,2.2846022829831897e11,0.0
175,2.311564870829664e11,7510.0035761802865,316.6573999816976,3.85083218869432e7,-99.93639624700911
176,5.222021596516154e12,1447.207894803278,509.72365348466747,1.321331266443248e11,0.0
177,7.164813819755176e8,561.7543826988385,13.561368355213306,477592.58608934825,-99.98498460032805
