variant_idx	variant_name	entry_idx	action	class	name	value_numeric	value_text	is_numeric
30	Human PK Lin (GUI Fit - all values normalized) - SC - Fast Abs - High fbio	3	parameter	Vc_tdb	Value	36.78	36.78	1
30	Human PK Lin (GUI Fit - all values normalized) - SC - Fast Abs - High fbio	4	parameter	Vp_tdb	Value	173.47	173.47	1
30	Human PK Lin (GUI Fit - all values normalized) - SC - Fast Abs - High fbio	5	parameter	Vm_tdb	Value	0	0	1
30	Human PK Lin (GUI Fit - all values normalized) - SC - Fast Abs - High fbio	6	parameter	Km_tdb	Value	5.72	5.72	1
30	Human PK Lin (GUI Fit - all values normalized) - SC - Fast Abs - High fbio	7	parameter	kabs_TDB	Value	0.5	0.5	1
30	Human PK Lin (GUI Fit - all values normalized) - SC - Fast Abs - High fbio	8	parameter	fbio_TDB	Value	0.8	0.8	1
31	Human PK Lin (GUI Fit - all values normalized) - SC - Slow Abs - Low fbio	1	parameter	Cl_tdb	Value	5.4	5.4	1
31	Human PK Lin (GUI Fit - all values normalized) - SC - Slow Abs - Low fbio	2	parameter	Cld_tdb	Value	24.17	24.17	1
31	Human PK Lin (GUI Fit - all values normalized) - SC - Slow Abs - Low fbio	3	parameter	Vc_tdb	Value	36.78	36.78	1
31	Human PK Lin (GUI Fit - all values normalized) - SC - Slow Abs - Low fbio	4	parameter	Vp_tdb	Value	173.47	173.47	1
31	Human PK Lin (GUI Fit - all values normalized) - SC - Slow Abs - Low fbio	5	parameter	Vm_tdb	Value	0	0	1
31	Human PK Lin (GUI Fit - all values normalized) - SC - Slow Abs - Low fbio	6	parameter	Km_tdb	Value	5.72	5.72	1
31	Human PK Lin (GUI Fit - all values normalized) - SC - Slow Abs - Low fbio	7	parameter	kabs_TDB	Value	0.2	0.2	1
31	Human PK Lin (GUI Fit - all values normalized) - SC - Slow Abs - Low fbio	8	parameter	fbio_TDB	Value	0.2	0.2	1
32	Human PK Lin (GUI Fit - all values normalized) - SC - Fast Abs - Ave fbio	1	parameter	Cl_tdb	Value	5.4	5.4	1
32	Human PK Lin (GUI Fit - all values normalized) - SC - Fast Abs - Ave fbio	2	parameter	Cld_tdb	Value	24.17	24.17	1
32	Human PK Lin (GUI Fit - all values normalized) - SC - Fast Abs - Ave fbio	3	parameter	Vc_tdb	Value	36.78	36.78	1
32	Human PK Lin (GUI Fit - all values normalized) - SC - Fast Abs - Ave fbio	4	parameter	Vp_tdb	Value	173.47	173.47	1
32	Human PK Lin (GUI Fit - all values normalized) - SC - Fast Abs - Ave fbio	5	parameter	Vm_tdb	Value	0	0	1
32	Human PK Lin (GUI Fit - all values normalized) - SC - Fast Abs - Ave fbio	6	parameter	Km_tdb	Value	5.72	5.72	1
32	Human PK Lin (GUI Fit - all values normalized) - SC - Fast Abs - Ave fbio	7	parameter	kabs_TDB	Value	0.5	0.5	1
32	Human PK Lin (GUI Fit - all values normalized) - SC - Fast Abs - Ave fbio	8	parameter	fbio_TDB	Value	0.5	0.5	1
33	Human PK Lin (GUI Fit - all values normalized) - SC - Slow Abs - Ave fbio	1	parameter	Bcell_tumor_trafficking_on	Value	5.4	5.4	1
33	Human PK Lin (GUI Fit - all values normalized) - SC - Slow Abs - Ave fbio	2	parameter	Cld_tdb	Value	24.17	24.17	1
33	Human PK Lin (GUI Fit - all values normalized) - SC - Slow Abs - Ave fbio	3	parameter	Vc_tdb	Value	36.78	36.78	1
33	Human PK Lin (GUI Fit - all values normalized) - SC - Slow Abs - Ave fbio	4	parameter	Vp_tdb	Value	173.47	173.47	1
33	Human PK Lin (GUI Fit - all values normalized) - SC - Slow Abs - Ave fbio	5	parameter	Vm_tdb	Value	0	0	1
33	Human PK Lin (GUI Fit - all values normalized) - SC - Slow Abs - Ave fbio	6	parameter	Km_tdb	Value	5.72	5.72	1
33	Human PK Lin (GUI Fit - all values normalized) - SC - Slow Abs - Ave fbio	7	parameter	kabs_TDB	Value	0.2	0.2	1
33	Human PK Lin (GUI Fit - all values normalized) - SC - Slow Abs - Ave fbio	8	parameter	fbio_TDB	Value	0.5	0.5	1
34	Tumor B cell off	1	parameter	Bcell_tumor_trafficking_on	Value	0	0	1
